Sofia.txt,Mean error time,Mean error distance
0,5.402723016862153,1.749971211294036
1,2.9664295798154803,1.0844280036131317
2,4.9467926623973595,1.98905964572047
3,7.029640414284715,2.527987222424662
4,6.2276104278949145,2.5785316009208747
5,4.157329611657986,1.6057468411699862
6,5.295675293590258,1.70417621352334
7,3.6067536713306203,1.8987440921268524
8,3.131285145821086,1.069153182848997
9,18.597296587216924,5.105625892476049
Francesco.txt,Mean error time,Mean error distance
0,5.266266390813819,2.4865492536605425
1,7.727453654520437,1.8309045803726913
2,11.446545474926824,2.6192723643171747
3,10.427260241970636,2.807247769361229
4,6.931715271461785,3.0883421872798262
5,5.524028068125681,2.568837679037691
6,48.29843768232583,8.651856160884405
7,31.786618876206546,11.734243614710948
8,7.6134650598214115,3.2071187421342966
9,86.22286624266494,2.9142027616073833
Aliya.txt,Mean error time,Mean error distance
0,5.957371460852479,2.73699032301203
1,3.9553929589107426,2.247783523687836
2,50.35264719456857,9.693870783531802
3,4.74681766584368,2.783528985151435
4,52.707020491613896,10.754630939010374
5,4.3044953537386705,2.1598426626279026
6,5.704131189951828,3.283046204036966
7,10.087891249662507,4.24006200900667
8,4.088141210018291,2.4001968828165876
9,2.1537313227487984,0.9746533335996864
10,6.016055408854838,3.476281101926
11,2.9962831404011956,1.340118074657042
12,1.5920520316694602,0.7874624462587978
13,5.2034836587687145,2.624158886500409
Thanaphon.txt,Mean error time,Mean error distance
0,5.550330166786437,1.9471352058713975
1,1.124704588007151,0.5318967986970949
2,2.4243560435353544,1.0965159272840834
3,3.145298975576523,1.7446904289075242
4,3.767170025873229,2.0349018209548784
5,15.515544279821533,8.611302441655523
6,4.026927615619607,2.2999169956661323
7,5.223995497794178,1.7190363829120576
8,21.344370524250234,10.207387712628053
9,11.189708061359426,4.121795385947432
Gerald.txt,Mean error time,Mean error distance
0,34.3761450175022,18.311187616975094
1,17.463227893406817,4.371427789502486
2,2.686150668887764,1.636821919500931
3,49.29087719749773,9.406261020552444
4,32.25710642771342,10.757181523183734
5,9.49300284653374,2.506567480184976
6,5.396180428953729,2.8175930999647627
7,124.2986130228088,14.271626242933994
8,9.265489776525728,2.2415701645760753
9,2.598947622070393,1.167617847748937
Ariel.txt,Mean error time,Mean error distance
0,16.59978449666151,2.1162602684924696
1,1.603788396471579,0.8388106773701611
2,2.5623346206854216,1.5038262214774536
3,26.52765324798618,2.3533115996668847
4,1.7914589008987531,0.8811627928842812
5,3.5901703113996217,2.0633208433035017
6,1.7807992075571746,1.0838597749477143
7,1.9059790173503466,1.0235069920104547
8,2.2154809301581255,0.9871901573568821
9,1.782619825725488,0.9851729582871225
Stefano.txt,Mean error time,Mean error distance
0,3.00618758757015,1.6179110072262868
1,2.654106182599688,1.3487967026299224
2,1.9180201972590014,1.0925135346274881
3,3.1542633006668668,1.5951609427292885
4,99.64890051746076,13.098307541092844
5,2.662879138240534,1.542426567129774
6,2.377579478862848,1.2699771188496316
7,3.9970434170977915,2.375064606992096
8,5.591432353727858,1.6421358340675694
9,21.538544925796074,3.606489067571049
Anastasiia.txt,Mean error time,Mean error distance
0,7.08640609151202,1.7410910344938002
1,8.190140168287755,1.6898105392821259
2,8.128646250785408,1.403117964325929
3,6.006202401302086,1.214845309688435
4,6.926702454547952,1.1481582502842
5,6.046686053729842,1.041025575753797
6,6.181197425335866,0.9944783119216833
7,2.67604253509732,1.3356316853249137
8,4.496926096694095,1.825153793900213
9,7.706541258466879,3.2892535535025793
Francesco(1).txt,Mean error time,Mean error distance
0,2.910059429887857,1.5870665744703405
1,4.479829575912627,2.0529997238330413
2,2.9747330842961244,1.488760787279553
3,2.5082560925966413,1.4277145246521343
4,2.9277305949701513,1.497723098180217
5,42.197375475042065,4.703845452370982
6,2.719622841509943,1.507803308017178
7,3.022442161154628,1.7435530000534214
8,2.4914898608571487,1.1918766576701187
9,247.42045773868136,16.592574118417506
Mattea.txt,Mean error time,Mean error distance
0,8.412303812942662,3.3981125200371642
1,2.5023138535678626,1.3314666915686242
2,2.775788057746799,1.3738228185987593
3,19.444146673360716,2.999873942090647
4,5.579501517270037,2.555346214947023
5,3.715958846698304,1.8867481290828876
6,22.90642121136055,6.027886433661538
7,3.616003151557422,1.3050169165881385
8,3.21447061660028,1.5925489419318157
9,3.985098209304058,1.874302706877249
Esra.txt,Mean error time,Mean error distance
0,5.360908783969952,2.594921113654743
1,3.1443872192735056,1.0556774800311075
2,10.61665118617955,2.6987435598232983
3,3.0933020020402933,1.4287462684296022
4,5.521924519463788,2.3806089068014953
5,4.025058614764408,2.2538322413107528
6,4.062015521288863,2.0319275897293285
7,14.842345139740242,3.401372205737843
8,6.873156187842183,2.3555673358394444
9,14.089751358684033,2.5081009826737675
Amy.txt,Mean error time,Mean error distance
0,4.083920271641785,2.061630516294755
1,2.2169664894526426,1.1311255598531063
2,2.6600204346130405,1.2752918720952044
3,4.324292076504458,2.227719678402764
4,1.463001206336126,0.7861629057215851
5,7.666208697133495,4.454370531899572
6,16.34417074686899,7.093722616819509
7,2.0891764455324306,0.946748418211186
8,2.4133887407562145,1.429166347410717
9,1.6107246733849507,0.7151734481739347
Uncorrected,Mean error time,Mean error distance
0,44.86768966359818,44.86768966359818
1,38.29985505964076,37.325853471266946
2,41.76584846447474,41.63197701770797
3,9.487850491275257,4.034250981831989
4,18.042127400575588,9.132479904519256
5,39.93312087923874,38.056954827035234
6,3.3707759622522184,1.8655574243730606
7,5.852364913532526,2.5712884533832074
8,6.685219229901942,2.914077609143614
9,4.974236355871332,2.5643751293843073
10,40.41986796502085,40.088706204122246
11,2.4855519187520394,1.1807657851630733
12,9.913053200918517,4.207968381568598
13,7.2295408510817625,3.546326583495388
14,44.86768070461607,44.86768070461607
15,44.86768136329594,44.86768136329594
16,25.316395677008092,9.914339902569031
17,44.86768222516598,44.86768222516598
18,44.86769103626397,44.86769103626397
19,3.775915892761666,1.750669513289456
20,22.45345159044185,1.844107501669348
21,45.53582309802012,45.53582309802012
22,9.600443519180994,4.114629680791836
23,9.139883330037433,2.6138413902140583
24,26.303559377932164,3.3344674670411867
